date,open,high,low,close,change,ADX,EMA_12,KAMA,MA_10,MACD,MACD_signal,MACD_hist,RSI,PSAR,SMA_20
2002/2/27,1109.38,1123.06,1102.26,1109.89,0.05%,18.73,1103.07,1118.46,1102.0,-9.96,-14.19,4.23,52.79,1074.36,1102.49
2002/2/28,1109.89,1121.57,1106.73,1106.73,-0.28%,17.58,1103.63,1118.24,1100.82,-8.93,-13.14,4.21,51.58,1075.33,1102.15
2002/3/1,1106.73,1131.79,1106.73,1131.78,2.26%,17.15,1107.96,1118.51,1102.35,-6.03,-11.72,5.69,59.51,1076.29,1102.22
2002/3/4,1131.78,1153.84,1130.93,1153.84,1.95%,17.86,1115.02,1121.51,1107.32,-1.92,-9.76,7.84,64.96,1078.51,1103.81
2002/3/5,1153.84,1157.74,1144.78,1146.14,-0.67%,18.68,1119.81,1125.12,1113.6,0.7,-7.67,8.37,61.83,1083.03,1106.39
2002/3/6,1146.14,1165.29,1145.11,1162.77,1.45%,19.76,1126.42,1130.79,1120.08,4.08,-5.32,9.4,65.67,1089.01,1110.03
2002/3/7,1162.77,1167.94,1150.69,1157.54,-0.45%,20.88,1131.21,1137.16,1127.73,6.26,-3.0,9.26,63.51,1096.63,1113.73
2002/3/8,1157.54,1172.76,1157.54,1164.31,0.58%,22.11,1136.3,1143.54,1135.18,8.44,-0.71,9.15,65.11,1105.19,1117.94
2002/3/11,1164.31,1173.03,1159.58,1168.26,0.34%,23.27,1141.22,1148.62,1141.06,10.36,1.5,8.86,66.05,1114.65,1121.54
2002/3/12,1168.26,1168.26,1154.34,1165.58,-0.23%,23.84,1144.96,1151.69,1146.68,11.54,3.51,8.03,64.78,1123.99,1124.22
2002/3/13,1165.58,1165.58,1151.01,1164.31,-0.11%,24.04,1147.94,1153.82,1152.13,12.23,5.25,6.97,64.15,1131.84,1127.06
2002/3/14,1154.09,1157.83,1151.08,1153.04,-0.97%,24.23,1148.73,1153.73,1156.76,11.73,6.55,5.18,58.69,1138.43,1128.79
2002/3/15,1153.04,1166.48,1153.04,1166.16,1.14%,24.89,1151.41,1154.8,1160.2,12.25,7.69,4.56,62.67,1143.96,1131.27
2002/3/18,1166.16,1172.73,1159.14,1165.55,-0.05%,25.83,1153.58,1155.1,1161.37,12.47,8.64,3.83,62.37,1148.61,1134.34
2002/3/19,1165.55,1173.94,1165.55,1170.29,0.41%,26.77,1156.15,1156.32,1163.78,12.88,9.49,3.39,63.82,1152.52,1138.69
2002/3/20,1170.29,1170.29,1151.61,1151.85,-1.58%,26.17,1155.49,1156.21,1162.69,11.58,9.91,1.67,54.93,1173.94,1141.38
